loss_generator,loss_discriminator
0.072804,1.392082
0.077983,1.344769
0.104488,1.284262
0.056278,1.165756
0.063832,1.111731
0.068076,0.997810
0.065749,0.835872
0.075166,0.573374
0.054641,0.607328
0.074519,0.418540
0.069123,0.334109
0.052084,0.457520
0.073423,0.103335
0.078678,0.199336
0.070075,0.079571
0.056826,0.115548
0.066735,0.040762
0.063954,0.042125
0.069591,0.065205
0.075384,0.053374
0.068655,0.016109
0.061837,0.022891
0.068166,0.026814
0.063635,0.013231
0.067415,0.011478
0.065578,0.010376
0.057841,0.007157
0.060747,0.438088
0.081827,0.059224
0.062668,0.005049
0.058903,0.027891
0.074791,0.014417
0.059644,0.275361
0.063478,0.039491
0.061559,0.282214
0.056845,0.105285
0.070624,0.139360
0.071231,0.146710
0.069475,0.236038
0.069676,0.130572
0.067841,0.025734
0.078779,0.026602
0.054680,0.006067
0.067206,0.001145
0.065486,0.136352
0.057894,0.218825
0.062903,0.104948
0.060799,0.424617
0.054830,0.041012
0.090336,0.059401
0.049836,0.112926
0.060880,0.229903
0.065468,0.056760
0.067904,0.033446
0.063333,0.173800
0.067130,0.488647
0.060654,0.086507
0.064572,0.007987
0.064363,0.128582
0.064649,0.289767
0.057914,0.028252
0.073778,0.517886
0.061886,0.123259
0.051937,1.084557
0.061973,0.004299
0.061810,0.156620
0.064330,1.080018
0.063527,0.012473
0.064115,0.409857
0.060107,0.175495
0.043592,0.015421
0.070547,0.208093
0.058170,0.113730
0.060905,0.275885
0.054874,0.115496
0.052996,0.671880
0.066360,0.079125
0.070338,0.852932
0.047659,0.418631
0.068439,0.886294
0.061242,0.186800
0.060360,0.010234
0.062472,0.198359
0.050663,0.185563
0.063693,0.160113
0.071232,0.047812
0.056911,0.227661
0.066893,0.151105
0.052959,0.134073
0.059359,0.008015
0.049655,0.080931
0.058648,0.166839
0.064061,0.007082
0.059633,0.119366
0.063456,0.155253
0.056694,0.677764
0.044126,0.053018
0.045456,0.163535
0.065390,0.098481
0.051289,0.016826
0.061577,0.042038
0.053867,0.019745
0.054032,0.008572
0.053333,0.055686
0.070642,0.172945
0.049482,0.264463
0.055809,0.548506
0.067972,0.268402
0.049199,0.006130
0.059966,0.011557
0.063242,0.198107
0.059238,0.604448
0.058331,0.005166
0.056341,0.090224
0.048211,0.817485
0.054775,0.242007
0.049348,0.012406
0.057772,0.218546
0.049600,0.057959
0.063635,0.006329
0.059342,0.087377
0.073517,0.028113
0.061568,0.001226
0.052463,0.089253
0.040448,3.316864
0.047084,7.967403
0.058972,4.521443
0.061140,0.310323
0.076716,0.110336
0.060667,6.869040
0.048910,5.679804
0.047699,0.914240
0.045211,0.192604
0.055403,1.227183
0.036614,3.080009
0.046519,1.555100
0.047360,0.898295
0.038095,0.413921
0.043264,0.759200
0.046003,0.817855
0.043976,1.097165
0.044739,1.038810
0.044028,0.819961
0.060950,0.500492
0.039666,0.614064
0.038967,0.622217
0.043792,0.859943
0.052446,0.477503
0.050388,0.203165
0.040832,0.295195
0.041831,0.352604
0.049638,0.341555
0.047038,0.257255
0.053757,0.168525
0.045837,0.358370
0.051730,0.177869
0.048628,0.145254
0.042021,0.239117
0.044880,0.143493
0.038167,0.266792
0.045552,1.081201
0.046831,0.341980
0.042485,0.293216
0.041804,0.266949
0.050340,0.245335
0.037604,1.583684
0.048451,0.280276
0.039960,0.230513
0.039688,0.272463
0.043633,0.338922
0.038124,0.387011
0.040950,0.212056
0.041156,0.351448
0.044361,0.289471
0.043816,0.051581
0.043373,0.814534
0.052537,0.339895
0.041870,0.311953
0.052248,0.059483
0.044708,0.507829
0.044022,0.153195
0.045377,0.047033
0.047835,0.066726
0.053558,0.141561
0.046776,0.525956
0.042902,0.097773
0.042443,0.080867
0.048543,0.061525
0.042556,0.292910
0.047553,0.271757
0.050467,0.208830
0.048197,0.061992
0.043974,0.051240
0.048310,0.120452
0.040028,0.785092
0.043598,2.253903
0.039130,0.110540
0.036033,0.371549
0.038705,1.099998
0.043366,1.210418
0.042590,0.202681
0.049856,0.023655
0.045412,0.470873
0.043449,0.723645
0.051660,0.353105
0.042537,0.917295
0.041361,0.291919
0.040899,0.288571
0.036490,1.055427
0.048268,1.206430
0.043804,0.053402
0.042699,0.050317
0.042452,0.164149
0.041414,0.202342
0.038538,0.408285
0.038340,0.254790
0.044360,0.021284
0.042895,0.101063
0.044960,0.367088
0.037666,0.173015
0.040773,0.134754
0.044842,0.359618
0.050334,0.085428
0.050083,0.007413
0.049635,0.027993
0.045368,0.841636
0.045898,0.041035
0.044721,0.027667
0.038552,0.053055
0.041062,0.026662
0.050237,0.017885
0.035231,0.124320
0.056459,0.174259
0.037147,0.067663
0.040634,0.039693
0.039041,0.066604
